tracked_team_id,tracked_team_name,match_id,start_time,status,match_number,category,stage,group,home_team,away_team,home_goals,away_goals,winner,arena,source_url
76326716,G15 Sandviken 2,80269803,2026-07-26T08:00+02:00,finished,1 15 0 28 000,Boys 15 - born 2011 - 11 aside ,,Group 28,Varegg/Sandviken 2,Snarøya SK,2,1,home,Ekeberg 06 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76326716"
75647962,G14 Sandviken 2,80263410,2026-07-26T08:50+02:00,finished,1 14 0 07 000,Boys 14 - born 2012 - 11 aside,,Group 7,Varegg Fotball Sandviken / Varegg 2,Ølen IL,0,6,away,Ekeberg 42 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75647962"
75670384,J15 Sandviken,80268678,2026-07-26T09:00+02:00,finished,2 15 0 17 001,Girls 15 - born 2011 11 aside,,Group 17,Vågå IL,Sandviken/Varegg,0,1,away,Ekeberg 33 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75670384"
75750514,G16 Varegg Fotball/Sandviken Blå,80216211,2026-07-26T10:00+02:00,finished,1 16 0 26 001,Boys 16 - born 2010 - 11 aside,,Group 26,Fagernes IL,Varegg Fotball /Sandviken Blå,1,1,,Valle Hovin 02 VA11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75750514"
76326718,G15/16 7-er Sandviken,80492744,2026-07-26T11:00+02:00,finished,1 16 7 09 000,Boys 15/16 - born 2010 - 7 aside,,Group 9,Varegg/Sandviken,Tana Ballklubb G16,0,13,away,Ekeberg 25 EK7,"https://norwaycup.cupmanager.net/2026,nb/result/team/76326718"
76334133,J19 Sandviken,80276997,2026-07-26T11:00+02:00,finished,2 19 0 02 000,Girls 18/19- born 2007 - 11aside,,Group 2,"Sandviken, IL /Varegg","Bodø/Glimt, FK",1,1,,Frigg Feltet 02 TØ11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76334133"
76353123,J14 Sandviken/Varegg Hvit,80266212,2026-07-26T11:20+02:00,finished,2 14 0 02 000,Girls  14  - born 2012- 11 aside,,Group 2,Oppsal IF Fotball,"Sandviken, IL Sandviken/Varegg Hvit",0,5,away,Furuset 05FU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76353123"
75647960,G14 Sandviken 1,80263491,2026-07-26T12:10+02:00,finished,1 14 0 12 001,Boys 14 - born 2012 - 11 aside,,Group 12,Varegg Fotball Sandviken / Varegg 1,Sportsklubben Vedavåg Karmøy,0,1,away,Furuset 05FU11,"https://norwaycup.cupmanager.net/2026,nb/result/team/75647960"
76353121,J14 Sandviken/Varegg Blå,80266247,2026-07-26T12:10+02:00,finished,2 14 0 04 000,Girls  14  - born 2012- 11 aside,,Group 4,IL ROS,"Sandviken, IL Sandviken/Varegg Blå",6,1,home,Ekeberg 44 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76353121"
76353119,J14 Sandviken/Varegg Rød,80266304,2026-07-26T13:00+02:00,finished,2 14 0 07 001,Girls  14  - born 2012- 11 aside,,Group 7,"Sandviken, IL Sandviken/Varegg Rød",Reinsvoll IF,0,3,away,Ekeberg 30 EK11,"https://norwaycup.cupmanager.net/2026,nb/result/team/76353119"
